reaction_id	reaction_name	stoichiometric_equation	reversible	compartment	pathway_branch	assignment_type	gene_reaction_rule	best_gene	best_locus	enzyme_family	EC_number	KEGG_ID	BioCyc_ID	transcript_log2FC_AD	transcript_padj_AD	proteomics_status	omics_support	biopax_source	balance_status	notes
rxn09657_c0	Thiamine transporter	cpd00067_e0 + cpd00305_e0 <=> cpd00067_c0 + cpd00305_c0	True	c0,e0	generic_metabolism	KNOWN_LC6_GENE	contig_1_1309155_1312247 or contig_1_3474367_3473132 or contig_1_4919341_4916243	contig_1_1309155_1312247	contig_1_1309155_1312247	contig_locus_assignment			rxn09657				no_support		balanced	
rxn09658_c0	TRANS-RXNAVI-26524.ce.brachyexp.SUCROSE_SUCROSE	cpd00067_e0 + cpd00076_e0 <=> cpd00067_c0 + cpd00076_c0	True	c0,e0	generic_metabolism	KNOWN_LC6_GENE	contig_1_118928_120139	contig_1_118928_120139	contig_1_118928_120139	contig_locus_assignment			META:TRANS-RXN-244				no_support		balanced	
rxn09672_c0	TRANS-RXNBWI-115637.ce.maizeexp.MET_MET	cpd00060_e0 + cpd00067_e0 <=> cpd00060_c0 + cpd00067_c0	True	c0,e0	generic_metabolism	KNOWN_LC6_GENE	contig_1_3962303_3963637	contig_1_3962303_3963637	contig_1_3962303_3963637	contig_locus_assignment			rxn09672				no_support		balanced	
rxn09673_c0	TRANS-RXNAVI-26524.ce.brachyexp.CPD-3609_CPD-3609	cpd00067_e0 + cpd00179_e0 <=> cpd00067_c0 + cpd00179_c0	True	c0,e0	generic_metabolism	KNOWN_LC6_GENE	contig_1_1191502_1190480 or contig_1_2748492_2750066 or contig_1_3689610_3688510	contig_1_1191502_1190480	contig_1_1191502_1190480	contig_locus_assignment			META:TRANS-RXN-245				no_support		balanced	
rxn09678_c0	TRANS-RXNBWI-115637.ce.maizeexp.GLN_GLN	cpd00053_e0 + cpd00067_e0 --> cpd00053_c0 + cpd00067_c0	False	c0,e0	generic_metabolism	KNOWN_LC6_GENE	contig_1_1260510_1262063 or contig_1_4209407_4208052	contig_1_1260510_1262063	contig_1_1260510_1262063	contig_locus_assignment			rxn09678				no_support		balanced	
rxn09681_c0	D-fructose transport in via proton symport	cpd00067_e0 + cpd00082_e0 <=> cpd00067_c0 + cpd00082_c0	True	c0,e0	generic_metabolism	KNOWN_LC6_GENE	contig_1_1260510_1262063 or contig_1_2907227_2906028	contig_1_1260510_1262063	contig_1_1260510_1262063	contig_locus_assignment			rxn09681				no_support		balanced	
rxn09690_c0	TRANS-RXNBWI-115637.ce.maizeexp.CYS_CYS	cpd00067_e0 + cpd00084_e0 <=> cpd00067_c0 + cpd00084_c0	True	c0,e0	generic_metabolism	KNOWN_LC6_GENE	contig_1_1901721_1900993 or contig_1_4919341_4916243 or contig_1_771354_772541	contig_1_1901721_1900993	contig_1_1901721_1900993	contig_locus_assignment			META:TRANS-RXN-287				no_support		balanced	
rxn09731_c0	Mitochondrial ornithine carrier protein	cpd00064_e0 + cpd00067_c0 <-- cpd00064_c0 + cpd00067_e0	False	c0,e0	generic_metabolism	KNOWN_LC6_GENE	contig_1_4722680_4723969 or contig_2_151374_152861	contig_1_4722680_4723969	contig_1_4722680_4723969	contig_locus_assignment			rxn09731				no_support		balanced	
rxn09882_c0	RXN-5581.c.metaexp.NADP_NADPH	cpd00001_c0 + cpd00006_c0 + cpd00486_c0 --> cpd00005_c0 + 2.0 cpd00067_c0 + cpd00703_c0	False	c0	generic_metabolism	KNOWN_LC6_GENE	contig_1_1304350_1305843 or contig_1_339385_337880 or contig_1_3685110_3683686	contig_1_1304350_1305843	contig_1_1304350_1305843	contig_locus_assignment	1.2.1.5		rxn09882				no_support		balanced	
rxn09886_c0	cysteine synthase (Selenide)	cpd00722_c0 + cpd01078_c0 <=> cpd00029_c0 + cpd00067_c0 + cpd01608_c0	True	c0	generic_metabolism	KNOWN_LC6_GENE	contig_1_1194627_1195106 or contig_1_1895072_1894149	contig_1_1194627_1195106	contig_1_1194627_1195106	contig_locus_assignment	2.5.1.47	R03601	META:RXN-12726				no_support		balanced	
rxn09889_c0	dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)	cpd02535_c0 --> cpd00001_c0 + cpd03577_c0	False	c0	generic_metabolism	KNOWN_LC6_GENE	contig_1_2643845_2642130 or contig_1_2776104_2774311 or contig_1_447699_449555	contig_1_2643845_2642130	contig_1_2643845_2642130	contig_locus_assignment	4.2.1.9		rxn09889				no_support		balanced	
rxn09944_c0	propanal:NAD+ oxidoreductase (CoA-acylating)	cpd00003_c0 + cpd00010_c0 + cpd00371_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd00086_c0	True	c0	generic_metabolism	ORPHAN_REACTION		ORPHAN	ORPHAN	ORPHAN	1.2.1.87	R09097	META:RXN-12736				no_support		balanced	
rxn09952_c0	alpha-amylase	cpd11657_c0 <=> cpd11594_c0	True	c0	generic_metabolism	KNOWN_LC6_GENE	contig_1_2909058_2907505	contig_1_2909058_2907505	contig_1_2909058_2907505	contig_locus_assignment	3.2.1.1		rxn09952				no_support		balanced	
rxn09956_c0	aldehyde dehydrogenase [NAD(P)+]	cpd00001_c0 + cpd00003_c0 + cpd09079_c0 <=> cpd00004_c0 + 2.0 cpd00067_c0 + cpd01107_c0	True	c0	generic_metabolism	KNOWN_LC6_GENE	contig_1_1304350_1305843 or contig_1_339385_337880 or contig_1_3685110_3683686	contig_1_1304350_1305843	contig_1_1304350_1305843	contig_locus_assignment	1.2.1.5		META:RXN-16653				no_support		balanced	
rxn09958_c0	aldehyde dehydrogenase [NAD(P)+]	cpd00001_c0 + cpd00003_c0 + cpd01535_c0 <=> cpd00004_c0 + 2.0 cpd00067_c0 + cpd01741_c0	True	c0	generic_metabolism	KNOWN_LC6_GENE	contig_1_1304350_1305843 or contig_1_339385_337880 or contig_1_3685110_3683686	contig_1_1304350_1305843	contig_1_1304350_1305843	contig_locus_assignment	1.2.1.5		META:RXN-16654				no_support		balanced	
rxn09960_c0	aldehyde dehydrogenase [NAD(P)+]	cpd00001_c0 + cpd00003_c0 + cpd15642_c0 <=> cpd00004_c0 + 2.0 cpd00067_c0 + cpd03847_c0	True	c0	generic_metabolism	KNOWN_LC6_GENE	contig_1_1304350_1305843 or contig_1_339385_337880 or contig_1_3685110_3683686	contig_1_1304350_1305843	contig_1_1304350_1305843	contig_locus_assignment	1.2.1.5		rxn09960				no_support		balanced	
rxn09972_c0	aldehyde dehydrogenase [NAD(P)+]	cpd00001_c0 + cpd00003_c0 + cpd15621_c0 <=> cpd00004_c0 + 2.0 cpd00067_c0 + cpd00597_c0	True	c0	generic_metabolism	KNOWN_LC6_GENE	contig_1_1304350_1305843 or contig_1_339385_337880 or contig_1_3685110_3683686	contig_1_1304350_1305843	contig_1_1304350_1305843	contig_locus_assignment	1.2.1.5		rxn09972				no_support		balanced	
rxn09973_c0	aldehyde dehydrogenase [NAD(P)+]	cpd00001_c0 + cpd00003_c0 + cpd15611_c0 <=> cpd00004_c0 + 2.0 cpd00067_c0 + cpd01113_c0	True	c0	generic_metabolism	KNOWN_LC6_GENE	contig_1_1304350_1305843 or contig_1_339385_337880 or contig_1_3685110_3683686	contig_1_1304350_1305843	contig_1_1304350_1305843	contig_locus_assignment	1.2.1.5		rxn09973				no_support		balanced	
rxn09974_c0	aldehyde dehydrogenase [NAD(P)+]	cpd00001_c0 + cpd00003_c0 + cpd10089_c0 <=> cpd00004_c0 + 2.0 cpd00067_c0 + cpd15608_c0	True	c0	generic_metabolism	KNOWN_LC6_GENE	contig_1_1304350_1305843 or contig_1_339385_337880 or contig_1_3685110_3683686	contig_1_1304350_1305843	contig_1_1304350_1305843	contig_locus_assignment	1.2.1.5		rxn09974				no_support		balanced	
rxn09975_c0	1-octanal dehydrogenase (NAD+)	cpd00001_c0 + cpd00003_c0 + cpd15619_c0 <=> cpd00004_c0 + 2.0 cpd00067_c0 + cpd03846_c0	True	c0	generic_metabolism	KNOWN_LC6_GENE	contig_1_1304350_1305843 or contig_1_339385_337880 or contig_1_3685125_3683692 or contig_1_3991368_3992765	contig_1_1304350_1305843	contig_1_1304350_1305843	contig_locus_assignment	1.2.1.3; 1.1.1.70		META:R222-RXN				no_support		balanced	
